projectid_head,projectid1,projectid2,projectid3,projectid4,countrycode,countryname,region,countryclassification_current,countryclassification_at_approval,projectname,modality,mode_of_fin_assistance,modality_financing,funding_source,approved_amount_usd_m,disbursed_amonut_usd_m,committed_amount_usd_m,approvaldate,approvalyear,loangisnged,loaneffective_initial,loaneffective_final,closingdate_initial,closingdate_final,cofin_approval_usd_m,cofin_act_usd_m,totalcost_initial,totalcost_final,sector1,sector1a,sector2,sector2a,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance
42107,42107-043,,,,UZB,Uzbekistan,Central and West Asia,B,B,Central Asia Regional Economic Cooperation Corridor 2 Road Investment Program (Tranche 3),Project,MFF-Tranche (Loan),,COL,100,67.11759622,98.29770783,6/5/12,2012,8/30/12,10/14/12,11/9/12,6/30/15,1/9/18,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
42117,42117-013,,,,PRC,China,East Asia,C,C,Tianjin Integrated Gasification Combined Cycle Power Plant Project,Project,Project loan,,OCR,135,105.73,135,2/8/10,2010,5/28/10,8/26/10,8/25/10,12/31/12,2/27/15,,,,,Energy,Conventional energy generation,na,na,-,-,-,-,-,-,-,-
42117,42117-013,,,,PRC,China,East Asia,C,C,Tianjin Integrated Gasification Combined Cycle Power Plant Project,Project,Project grant,,Climate Change Fund (CCF),5,4.87,5,2/8/10,2010,5/28/10,,8/16/10,12/31/15,7/19/17,,,,,Energy,Conventional energy generation,na,na,-,-,-,-,-,-,-,-
42145,42145-023,,,,ARM,Armenia,Central and West Asia,C,B,North‒South Road Corridor Investment Program (Tranche 1),Project,MFF-Tranche (Loan),MFF - tranche,COL,60,57.062,60.97482673,10/6/09,2009,10/12/09,12/11/09,2/24/10,6/30/14,2/23/18,0,0,70,69.62,Transportation,Road transport (non-urban),na,na,successful,less than relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
42161,42161-013,,,,NEP,Nepal,South Asia,A,A,Integrated Urban Development Project,Project,Project loan,Project loan,COL/ADF,56.8,43.82213422,55.9536856,2/14/12,2012,5/8/12,8/6/12,7/4/12,12/31/17,10/7/20,0,0,83.87,60.93,Water,Urban flood protection,TRA,Urban roads and traffic management,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
42161,42161-013,,,,NEP,Nepal,South Asia,A,A,Integrated Urban Development Project,Project,Project loan,,COL,44.8,35.37329052,43.9536856,2/14/12,2012,5/8/12,8/6/12,7/4/12,12/31/17,9/21/20,,,,,Water,Urban flood protection,TRA,Urban roads and traffic management,-,-,-,-,-,-,-,-
42161,42161-013,,,,NEP,Nepal,South Asia,A,A,Integrated Urban Development Project,Project,Project grant,,ADF,12,8.4488437,12,2/14/12,2012,5/8/12,8/6/12,7/4/12,12/31/17,10/7/20,,,,,Water,Urban flood protection,TRA,Urban roads and traffic management,-,-,-,-,-,-,-,-
42171,42171-013 ,,,,BAN,Bangladesh,South Asia,B,B,Khulna Water Supply Project,Project,Project loan,Project loan,COL,75,66.03970361,74.97432936,6/14/11,2011,6/27/11,9/25/11,1/4/12,6/30/18,12/29/19,183.96,138.64,360.88,322.03,Water,Urban water supply,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
42182,42182-013 ,,,,VIE,Viet Nam,Southeast Asia,C,B,Renewable Energy Development and Network Expansion and Rehabilitation for Remote Communes Sector Project,Project,Sector Loan,Sector loan,COL/CEF-CEFPF,154,141.3880679,164.4623957,3/30/09,2009,9/17/09,12/16/09,12/21/09,12/31/17,2/22/19,3,1.83,201.02,197.17,Energy,Electricity transmission and distribution,na,na,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
42182,42182-013 ,,,,VIE,Viet Nam,Southeast Asia,C,B,Renewable Energy Development and Network Expansion and Rehabilitation for Remote Communes Sector Project,Project,Sector Loan,,COL,151,139.5583767,161.4623957,3/30/09,2009,9/17/09,12/16/09,12/21/09,6/30/16,2/22/19,,,,,Energy,Electricity transmission and distribution,na,na,-,-,-,-,-,-,-,-
42182,42182-013 ,,,,VIE,Viet Nam,Southeast Asia,C,B,Renewable Energy Development and Network Expansion and Rehabilitation for Remote Communes Sector Project (additional financing),Project,Sector grant,,Clean Energy Fund under the Clean Energy Financing Partnership Facility (CEF-CEFPF),3,1.82969117,3,4/9/14,2014,11/30/15,3/2/16,4/29/16,12/31/17,5/24/18,3,1.83,,,Energy,Electricity transmission and distribution,na,na,-,-,-,-,-,-,-,-
42248,42248-013,,,,BAN,Bangladesh,South Asia,B,B,Second Chittagong Hill Tracts Rural Development Project,Project,Project loan,Project loan,COL,55,48.35389122,53.61027532,7/14/11,2011,10/2/11,9/14/11,12/13/11,6/30/19,3/20/22,0,0,70.81,59.66,Transportation,Road transport (non-urban),ANR,"Land-based natural resources management; Rural water policy, institutional and capacity development",successful,relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory
42252,42252-022,,,,BHU,Bhutan,South Asia,A,A,"Rural Renewable Energy Development
Project",Project,Project grant,Project grant,ADF,21.59,21.02959122,21.59,10/29/10,2010,12/13/10,3/13/11,3/22/11,12/31/15,4/10/19,0,0,24.91,24.14,Energy,Electricity transmission and distribution,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
42254,42254-013,,,,SRI,Sri Lanka,South Asia,B,B,Northern Road Connectivity Project,Project,Project loan,Project loan,COL/OCR,252.4,242.590003,253.229,6/18/10,2010,8/27/10,11/25/10,10/22/10,6/30/18,9/13/21,0,0,285.8,247.53,Transportation,"Road transport (non-urban), Transport policies and institutional development",na,na,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
42254,42254-013,,,,SRI,Sri Lanka,South Asia,B,B,Northern Road Connectivity Project,Project,Project loan,,OCR,130,127.752542,130,6/18/10,2010,8/27/10,11/25/10,10/22/10,12/30/15,11/16/17,,,,,Transportation,"Road transport (non-urban), Transport policies and institutional development",na,na,-,-,-,-,-,-,-,-
42254,42254-013,,,,SRI,Sri Lanka,South Asia,B,B,Northern Road Connectivity Project,Project,Project loan,,COL,24.4,22.985982,24.221,6/18/10,2010,8/27/10,11/25/10,10/22/10,12/30/15,3/8/18,,,,,Transportation,"Road transport (non-urban), Transport policies and institutional development",na,na,-,-,-,-,-,-,-,-
42254,42254-013,,,,SRI,Sri Lanka,South Asia,B,B,Northern Road Connectivity Project (Additional Financing),Project,Project loan,,COL,68,62.91382,69.008,9/14/12,2012,11/19/12,2/17/13,5/31/13,6/30/18,9/13/21,,,,,Transportation,"Road transport (non-urban), Transport policies and institutional development",na,na,-,-,-,-,-,-,-,-
42254,42254-013,,,,SRI,Sri Lanka,South Asia,B,B,Northern Road Connectivity Project (Additional Financing),Project,Project loan,,OCR,30,28.937659,30,9/14/12,2012,11/19/12,2/17/13,5/31/13,6/30/18,8/31/21,,,,,Transportation,"Road transport (non-urban), Transport policies and institutional development",na,na,-,-,-,-,-,-,-,-
42361,42361-013,42361-014 ,,,CAM,Cambodia,Southeast Asia,A,A,Medium-Voltage Sub-Transmission Expansion Sector Project and Additional Financing,Project,Project loan,Project loan,COL/CEF-CEFPF/OFID,56,50.70982489,55.74462696,12/14/12,2012,1/17/13,4/17/13,10/28/13,6/30/18,4/23/20,10,11,68.32,58.95,Energy,Energy sector development and institutional reform,na,na,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory
42361,42361-013,,,,CAM,Cambodia,Southeast Asia,A,A,Medium-Voltage Sub-Transmission Expansion Sector Project ,Project,Project loan,,COL,45,39.70982758,44.74462965,12/14/12,2012,1/17/13,4/17/13,10/28/13,12/31/17,4/23/20,,,,,Energy,Energy sector development and institutional reform,na,na,-,-,-,-,-,-,-,-
42361,42361-013,,,,CAM,Cambodia,Southeast Asia,A,A,Medium-Voltage Sub-Transmission Expansion Sector Project ,Project,Project loan,,OPEC Fund for International Development (OFID),10,9.99999731,9.99999731,12/14/12,2012,3/8/13,10/29/13,10/29/13,12/31/17,10/1/19,10,10,,,Energy,Energy sector development and institutional reform,na,na,-,-,-,-,-,-,-,-
42361,42361-014 ,,,,CAM,Cambodia,Southeast Asia,A,A,Medium-Voltage Sub-Transmission Expansion Sector Project -Additional Financing,Project,Project grant,,CEF-CEFPF,1,1,1,12/9/15,2015,5/26/16,11/4/16,11/4/16,6/30/18,9/14/18,,1,,,Energy,Energy sector development and institutional reform,na,na,-,-,-,-,-,-,-,-
42362,42362-013,,,,INO,Indonesia,Southeast Asia,C,C,Java–Bali 500-Kilovolt Power Transmission Crossing Project,Project,Project loan,Project loan,OCR/ASEAN Infrastructure Fund,249,20.834603,249,12/3/13,2013,12/30/13,3/30/14,9/29/14,9/30/19,1/9/20,25,1.92,410,29.1,Energy,Electricity transmission and distribution,na,na,less than successful,less than relevant,ineffective,efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory
42362,42362-013,,,,INO,Indonesia,Southeast Asia,C,C,Java–Bali 500-Kilovolt Power Transmission Crossing Project,Project,Project loan,,OCR,224,18.751192,224,12/3/13,2013,12/30/13,3/30/14,9/29/14,9/30/19,1/9/20,,,,,Energy,Electricity transmission and distribution,na,na,-,-,-,-,-,-,-,-
42362,42362-013,,,,INO,Indonesia,Southeast Asia,C,C,Java–Bali 500-Kilovolt Power Transmission Crossing Project,Project,Project loan,,ASEAN Infrastructure Fund,25,2.083411,25,12/3/13,2013,12/30/13,3/30/14,9/29/14,9/30/19,1/9/20,25,1.92,,,Energy,Electricity transmission and distribution,na,na,-,-,-,-,-,-,-,-
42378,42378-015,,,,BAN,Bangladesh,South Asia,B,B,Power System Expansion and Efficiency Improvement Investment Program (Tranche 1),Project,MFF-Tranche (Loan),MFF - tranche,OCR,185,179.607871,185,12/12/12,2012,4/3/13,7/2/13,6/25/13,12/31/18,12/23/19,183,5.36,400,322.28,Energy,Energy efficiency and conservation,na,na,less than successful,less than relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory
42382,42382-012,,,,PRC,China,East Asia,C,C,Liaoning Small Cities and Towns Development Demonstration Sector Project,Project,Project grant,,WFPF,0.25,0.22,0.25,9/18/09,2009,5/19/10,7/1/10,7/1/10,12/31/11,4/23/14,0.25,0.22,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
42382,42382-013,,,,PRC,China,East Asia,C,C,Liaoning Small Cities and Towns Development Demonstration Sector Project,Project,Sector loan,,OCR,100,92,100,9/18/09,2009,3/30/10,6/30/10,7/1/10,3/31/16,9/27/16,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
42383,42383-023,,,,PRC,China,East Asia,C,C,Shanxi Small Cities and Towns Development Demonstration Sector Project,Project,Sector loan,Sector loan,OCR/Multi-Donor Trust Fund under the Water Financing Partnership Facility,100.25,93.81840672,100.25,12/18/09,2009,4/27/10,7/26/10,7/27/10,6/30/16,1/15/19,0.3,0.2,224.7,169.7,Water,Urban sewerage,ANR,Water-based natural resources management,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,less than satisfactory
42383,42383-023,,,,PRC,China,East Asia,C,C,Shanxi Small Cities and Towns Development Demonstration Sector Project,Project,Sector loan,,OCR,100,93.6238735,100,12/18/09,2009,4/27/10,7/26/10,7/27/10,6/30/16,1/15/19,,,,,Water,Urban sewerage,ANR,Water-based natural resources management,-,-,-,-,-,-,-,-
42383,42383-023,,,,PRC,China,East Asia,C,C,Shanxi Small Cities and Towns Development Demonstration Sector Project,Project,Sector grant,,Multi-Donor Trust Fund under the Water Financing Partnership Facility,0.25,0.19453322,0.25,12/18/09,2009,7/13/10,7/27/10,7/27/10,6/30/13,5/2/14,,,,,Water,Urban sewerage,ANR,Water-based natural resources management,-,-,-,-,-,-,-,-
42391,42391-013,,,,VAN,Vanuatu,Pacific,A,A,Port Vila Urban Development Project,Project,Project loan/grant,Project loan/grant,COL/Government of Australia/GEF-Least Developed Countries Fund,38.87,31.88431055,37.84264754,12/13/11,2011,12/12/12,3/12/13,2/13/13,12/31/18,12/24/19,31,27.5,39.1,34.9,Transportation,Urban roads and traffic management,WUS,Urban sewerage,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
42391,42391-013,,,,VAN,Vanuatu,Pacific,A,A,Port Vila Urban Development Project,Project,Project loan,,COL,5,4.42450491,4.86164754,12/13/11,2011,12/12/12,3/12/13,2/13/13,12/31/17,12/24/19,,,,,Transportation,Urban roads and traffic management,WUS,Urban sewerage,-,-,-,-,-,-,-,-
42391,42391-013,,,,VAN,Vanuatu,Pacific,A,A,Port Vila Urban Development Project,Project,Project grant,,Government of Australia,25.611,20.17564724,25.611,12/13/11,2011,12/12/12,3/12/13,2/13/13,12/31/17,12/24/19,,,,,Transportation,Urban roads and traffic management,WUS,Urban sewerage,-,-,-,-,-,-,-,-
42391,42391-013,,,,VAN,Vanuatu,Pacific,A,A,Port Vila Urban Development Project,Project,Project grant,,Government of Australia,5.389,4.41464431,4.5,12/13/11,2011,12/12/12,3/12/13,2/13/13,12/31/17,12/24/19,,,,,Transportation,Urban roads and traffic management,WUS,Urban sewerage,-,-,-,-,-,-,-,-
42391,42391-013,,,,VAN,Vanuatu,Pacific,A,A,Port Vila Urban Development Project,Project,Project grant,,GEF-Least Developed Countries Fund,2.87,2.86951409,2.87,12/8/16,2016,2/16/17,5/17/17,4/18/17,12/31/18,12/24/19,,,,,Transportation,Urban roads and traffic management,WUS,Urban sewerage,-,-,-,-,-,-,-,-
42394,42394-022,,,,TON,Tonga,Pacific,A,A,Nuku’alofa Urban Development Sector Project,Project,Project grant,Project grant,ADF/Government of Australia,12.5,13.512276,12.5,10/17/11,2011,3/1/16,4/10/12,4/10/12,12/31/17,12/8/20,8.463,7.45,14.59,15.53,Water,Urban water supply,na,na,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
42394,42394-022,,,,TON,Tonga,Pacific,A,A,Nuku’alofa Urban Development Sector Project,Project,Project grant,,ADF,6.06,6.06,6.06,10/17/11,2011,9/1/17,4/10/12,4/10/12,12/31/17,12/8/20,,,,,Water,Urban water supply,na,na,-,-,-,-,-,-,-,-
42394,42394-022,,,,TON,Tonga,Pacific,A,A,Nuku’alofa Urban Development Sector Project (Additional Financing),Project,Project grant,,Government of Australia,6.44,7.452276,6.44,10/17/11,2011,3/1/16,4/10/12,4/10/12,12/31/17,12/8/20,8.463,7.45,,,Water,Urban water supply,na,na,-,-,-,-,-,-,-,-
42399,42399-012,,,,KGZ,Kyrgyz Republic,Central and West Asia,A,A,CAREC Transport Corridor I (Bishkek-Torugart Road) Project 2,Project,Project grant,,ADF,22,21.99832073,22,7/14/09,2009,8/5/09,10/6/09,10/30/09,6/30/14,3/1/15,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
42399,42399-013,,,,KGZ,Kyrgyz Republic,Central and West Asia,A,A,CAREC Transport Corridor I (Bishkek-Torugart Road) Project 2,Project,Project loan,,COL,28,27.79307289,28.72417836,7/14/09,2009,8/5/09,10/6/09,10/30/09,11/30/14,3/1/15,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
42399,42399-023,,,,KGZ,Kyrgyz Republic,Central and West Asia,A,A,Kyrgyz Republic: CAREC Corridor 1 (Bishkek–Torugart Road) Project 3,Project,Project loan,,COL,55,51.05,55.11809136,6/7/11,2011,9/19/11,11/18/11,2/13/12,12/31/17,5/7/18,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
42399,42399-024,,,,KGZ,Kyrgyz Republic,Central and West Asia,A,A,Kyrgyz Republic: CAREC Corridor 1 (Bishkek–Torugart Road) Project 3 (Additional Financing),Project,Project loan,,COL,10.8,9.36,10.54529336,12/2/14,2014,12/26/14,3/26/15,4/24/15,12/31/17,5/7/18,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
42399,42399-024,,,,KGZ,Kyrgyz Republic,Central and West Asia,A,A,Kyrgyz Republic: CAREC Corridor 1 (Bishkek–Torugart Road) Project 3 (Additional Financing),Project,Project grant,,ADF,4.3,4.14,4.3,12/2/14,2014,12/26/14,3/26/15,4/24/15,12/31/17,5/7/18,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
42401,42401-015 ,,,,AZE,Azerbaijan,Central and West Asia,C,C,Power Distribution Enhancement Investment Program (Tranche 1),Project,MFF-Tranche (Loan),MFF - tranche,OCR,250,249.97,250,7/19/16,2016,7/22/16,10/20/16,9/2/16,6/30/19,12/31/19,0,0,325,304.29,Energy,Electricity transmission and distribution,na,na,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
42408,42408-013,42408-043 ,,,AZE,Azerbaijan,Central and West Asia,C,C,Water Supply and Sanitation Investment Program (Multitranche Financing Facility and Tranche 3),Project,MFF - Facility,MFF - Facility,OCR,150,149.0241657,150,12/5/13,2013,11/28/14,2/26/15,5/28/15,5/31/18,12/10/18,0,0,198.08,186.26,Water,Urban water supply; Urban sewerage,na,na,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
42408,42408-023,,,,AZE,Azerbaijan,Central and West Asia,C,B,Water Supply and Sanitation Investment Program (Tranche 1),Project,MFF-Tranche (Loan),MFF - tranche,OCR,75,74.2017932,75,10/14/09,2009,12/17/09,1/16/10,2/17/10,6/30/13,11/8/17,0,0,105.93,97.14,Water,Urban sewerage,na,na,less than successful,relevant,less than effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
42408,42408-033 ,,,,AZE,Azerbaijan,Central and West Asia,C,B,Water Supply and Sanitation Investment Program (Tranche 2),Project,MFF-Tranche (Loan),MFF - tranche,OCR,300,299.7105338,300,12/22/11,2011,6/6/12,7/6/12,9/20/12,6/30/17,5/4/18,0,0,410,378.22,Water,Urban sewerage,na,na,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
42408,42408-043 ,,,,AZE,Azerbaijan,Central and West Asia,C,C,Water Supply and Sanitation Investment Program ( Tranche 3),Project,MFF-Tranche (Loan),,OCR,150,149.0241657,150,12/5/13,2013,11/28/14,2/26/15,5/28/15,5/31/18,12/10/18,,,,,Water,Urban water supply; Urban sewerage,na,na,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
42414,42414-013,42414-045,,,GEO,Georgia,Central and West Asia,C,C,Sustainable Urban Transport Investment Program (Tranche 5 and Multitranche Financing Facility),Project,MFF-Facility,MFF - Facility,OCR,14.27,11.235,14.13359308,12/7/17,2017,12/19/17,3/19/18,3/8/18,7/18/20,6/29/21,0,0,16.95,13.68,Transportation,Urban public transport,na,na,less than successful,less than relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
42414,42414-023,,,,GEO,Georgia,Central and West Asia,C,B,Sustainable Urban Transport Investment Program (Tranche 1),Project,MFF-Tranche (Loan),MFF - tranche,OCR,85,78.741,88.29702178,7/21/10,2010,8/5/10,10/4/10,9/29/10,12/31/16,4/28/21,0,0,99.98,102.03,Transportation,"Urban public transport, Urban roads and traffic management	",na,na,less than successful,less than relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
42414,42414-033,,,,GEO,Georgia,Central and West Asia,C,B,Sustainable Urban Transport Investment Program (Tranche 2),Project,MFF-Tranche (Loan),MFF - tranche,COL/OCR,80,49.391,80.0478676,7/24/12,2012,7/24/12,9/22/12,8/20/12,12/31/18,5/7/21,0,0,108,64.97,Transportation,"Urban roads and traffic management, Transport policies and institutional development",na,na,successful,less than relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
42414,42414-033,,,,GEO,Georgia,Central and West Asia,C,B,Sustainable Urban Transport Investment Program (Tranche 2),Project,MFF-Tranche (Loan),,OCR,64,36.93,64,7/24/12,2012,7/24/12,9/22/12,8/20/12,12/31/18,5/7/21,,,,,Transportation,"Urban roads and traffic management, Transport policies and institutional development",na,na,-,-,-,-,-,-,-,-
42414,42414-033,,,,GEO,Georgia,Central and West Asia,C,B,Sustainable Urban Transport Investment Program (Tranche 2),Project,MFF-Tranche (Loan),,COL,16,12.461,16.0478676,7/24/12,2012,7/24/12,9/22/12,8/20/12,12/31/18,5/7/21,,,,,Transportation,"Urban roads and traffic management, Transport policies and institutional development",na,na,-,-,-,-,-,-,-,-
42414,42414-043,,,,GEO,Georgia,Central and West Asia,C,B,Sustainable Urban Transport Investment Program (Tranche 3),Project,MFF-Tranche (Loan),MFF - tranche,OCR,73,34.2,73,11/25/13,2013,12/19/13,2/17/14,3/14/14,12/31/18,4/19/21,0,0,118.21,52.98,Transportation,Urban roads and traffic management,na,na,less than successful,less than relevant,less than effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
42414,42414-044,,,,GEO,Georgia,Central and West Asia,C,B,Sustainable Urban Transport Investment Program (Tranche 4),Project,MFF-Tranche (Loan),MFF - tranche,OCR,20,18.528,20,8/25/15,2015,10/26/15,12/25/15,1/8/16,6/30/20,4/21/21,0,0,24,21.78,Transportation,"Urban roads and traffic management, Urban public transport",WUS,Other urban services,successful,less than relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
42414,42414-045,,,,GEO,Georgia,Central and West Asia,C,C,Sustainable Urban Transport Investment Program (Tranche 5 and Multitranche Financing Facility),Project,MFF-Tranche (Loan),,OCR,14.27,11.235,14.13359308,12/7/17,2017,12/19/17,3/19/18,3/8/18,7/18/20,6/29/21,,,,,Transportation,Urban public transport,na,na,successful,less than relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
42489,42489-023,,,,UZB,Uzbekistan,Central and West Asia,B,B,Water Supply and Sanitation Services Investment Program (Tranche 1),Project,MFF-Tranche (Loan),MFF - tranche,COL,60,56.72906893,61.74104872,10/8/09,2009,12/1/09,1/15/10,4/21/10,6/30/15,1/9/19,0,0,75,68,Water,Urban water supply,na,na,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
42489,42489-053,,,,UZB,Uzbekistan,Central and West Asia,B,B,Water Supply and Sanitation Services Investment Program (Multitranche Financing Facility and Tranche 4),Project,MFF - Facility,MFF - Facility,COL,42,38.48569136,43.19341053,11/25/13,2013,2/27/14,4/28/14,9/5/14,3/31/18,4/30/19,0,0,52.5,40.75,Water,Urban water supply,na,na,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
42489,42489-053,,,,UZB,Uzbekistan,Central and West Asia,B,B,Water Supply and Sanitation Services Investment Program (Tranche 4),Project,MFF-Tranche (Loan),,COL,42,38.48569136,43.19341053,11/25/13,2013,2/27/14,4/28/14,9/5/14,3/31/18,4/30/19,0,0,52.5,40.75,Water,Urban water supply,na,na,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
42513,42513-013,,,,IND,India,South Asia,B,B,Karnataka State Highway Improvement Project,Project,Project loan,Project loan,OCR,315,263.1920474,315,11/29/10,2010,7/20/11,10/18/11,9/12/11,6/30/15,4/23/19,0,0,462.75,429.03,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
43023,43023-013,,,,PRC,China,East Asia,C,C,Guangxi Beibu Gulf Cities Development Project,Project,Project loan,Project loan,OCR,200,200,200,12/2/11,2011,5/7/12,8/5/12,8/20/12,6/30/17,4/12/22,0,0,406.8,408.91,Transportation,Urban roads and traffic management,WUS,Urban sewerage,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
43024,43024-013,,,,PRC,China,East Asia,C,C,Xinjiang Altay Urban Infrastructure and Environment Improvement Project,Project,Project loan,Project loan,OCR,100,96.91150485,100,6/23/11,2011,8/3/11,11/1/11,11/18/11,6/30/18,3/27/19,0,0,168.52,142.36,Transportation,Urban roads and traffic management,"WUS,ENE",Urban water supply; Energy utility services,successful,relevant,effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory
43029,43029-013,,,,PRC,China,East Asia,C,C,Inner Mongolia Road Development Project,Project,Project loan,Project loan,OCR,200,199.6005709,200,10/8/13,2013,1/19/12,3/17/14,4/1/14,6/30/18,1/8/21,0,0,502.11,358.73,Transportation,Road transport (non-urban),na,na,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
43031,43031-013,,,,PRC,China,East Asia,C,C,Hunan Xiangjiang Inland Waterway Transport Project,Project,Project loan,Project loan,OCR,150,148.812756,150,12/7/12,2012,1/25/13,4/25/13,4/25/13,6/30/18,5/27/19,65.4,0,393.32,315.65,Transportation,Water transport (non-urban),na,na,highly successful,highly relevant,highly effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory
43032,43032-013,,,,PRC,China,East Asia,C,C,Xi'an Urban Road Network Improvement Project,Project,Project loan,Project loan,OCR,150,148.5924707,150,11/8/11,2011,1/19/12,4/18/12,5/28/12,6/30/17,2/8/21,234.01,0,558.06,477.44,Transportation,Urban roads and traffic management,WUS,"Urban policy, institutional and capacity development",successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
43054,43054-013,,,,PRC,China,East Asia,C,C,Hai River Estuary Area Pollution Control and Ecosystem Rehabilitation Project,Project,Project loan,Project loan,OCR,100,100,100,12/13/11,2011,4/23/14,6/4/12,8/20/12,12/31/17,4/23/20,0,0,249.12,221.1,Water,Urban sewerage,na,na,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
43141,43141-023,,,,PNG,Papua New Guinea,Pacific,B,B,Civil Aviation Development Investment Program (Tranche 1),Project,MFF-Tranche (Loan),,OCR,25,24.62,25,12/1/09,2009,1/28/10,4/28/10,3/22/10,12/31/15,7/15/16,,,,,Transportation,Air transport,na,na,-,-,-,-,-,-,-,-
43141,43141-023,,,,PNG,Papua New Guinea,Pacific,B,B,Civil Aviation Development Investment Program (Tranche 1),Project,MFF-Tranche (Loan),,COL,50,46.4,49.26319871,12/1/09,2009,1/28/10,4/28/10,3/22/10,12/31/15,7/15/16,,,,,Transportation,Air transport,na,na,-,-,-,-,-,-,-,-
43141,43141-033,,,,PNG,Papua New Guinea,Pacific,B,B,Civil Aviation Development Investment Program (Tranche 1),Project,MFF-Tranche (Loan),,COL,20,18.68,19.70496693,12/1/09,2009,1/28/10,4/28/10,3/22/10,12/31/15,7/15/16,,,,,Transportation,Air transport,na,na,-,-,-,-,-,-,-,-
43150,43150-022 ,,,,TAJ,Tajikistan,Central and West Asia,A,A,Regional Power Transmission Project,Project,Project grant,Project grant,ADF,122,121.9527009,122,8/13/10,2010,9/16/10,10/16/10,10/19/10,8/31/15,8/21/20,0,0,141,140.95,Energy,Electricity transmission and distribution,na,na,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
43151,43151-023,,,,UZB,Uzbekistan,Central and West Asia,B,B,Talimarjan Power Project,Project,Project loan,Project loan,OCR/ADF,350,342.1109608,349.8977843,4/20/10,2010,11/26/15,6/15/10,7/23/10,12/31/15,3/26/20,300,241.097,1280,1035.2,Energy,Energy efficiency and conservation,na,na,successful,relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory
43151,43151-023,,,,UZB,Uzbekistan,Central and West Asia,B,B,Talimarjan Power Project,Project,Project loan,,OCR,340,339.988286,340,4/20/10,2010,11/26/15,6/15/10,7/23/10,12/31/15,1/15/19,,,,,Energy,Energy efficiency and conservation,na,na,-,-,-,-,-,-,-,-
